Weights,PortfolioReturn,PortfolioVariance,SharpeRatio
"[0.2, 0.35, 0.45]",1.440403559329504,0.002731073962110596,27.562426900690834
"[0.2, 0.3, 0.5]",1.4223437840378317,0.00285181376947788,26.63446626951765
"[0.2, 0.25, 0.55]",1.4042840087461594,0.002986567774597949,25.696191667480115
"[0.2, 0.2, 0.6]",1.3862242334544872,0.003135335977470802,24.75662531475678
"[0.2, 0.15, 0.65]",1.368164458162815,0.00329811837809644,23.823479088709668
"[0.2, 0.1, 0.7]",1.3501046828711425,0.0034749149764748627,22.903157108201423
"[0.2, 0.05, 0.75]",1.3320449075794705,0.003665725772606071,22.000820620072066
"[0.2, 0.0, 0.8]",1.3139851322877982,0.0038705507664900636,21.120493767778633
"[0.15, 0.85, 0.0]",1.6537980555811242,0.0023615841688808077,34.0314741990436
"[0.15, 0.8, 0.05]",1.635738280289452,0.002354042574145768,33.71371885570851
"[0.15, 0.75, 0.1]",1.6176785049977798,0.0023605151771635123,33.29575109364987
"[0.15, 0.7, 0.15]",1.5996187297061075,0.0023810019779340412,32.782087299546376
"[0.15, 0.65, 0.2]",1.5815589544144353,0.002415502976457356,32.179670797197666
"[0.15, 0.6, 0.25]",1.5634991791227628,0.002464018172733455,31.497472417895565
"[0.15, 0.55, 0.3]",1.5454394038310908,0.0025265475667623385,30.74597301530876
"[0.15, 0.5, 0.35]",1.5273796285394183,0.002603091158544007,29.936588338377927
"[0.15, 0.45, 0.4]",1.5093198532477463,0.0026936489480784607,29.08109713699411
"[0.15, 0.4, 0.45]",1.4912600779560738,0.0027982209353656987,28.191123938650584
"[0.15, 0.35, 0.5]",1.4732003026644016,0.0029168071204057214,27.277712245001954
"[0.15, 0.3, 0.55]",1.4551405273727294,0.0030494075031985294,26.351006262453275
"[0.15, 0.25, 0.6]",1.4370807520810571,0.003196022083744121,25.420043349038448
"[0.15, 0.2, 0.65]",1.4190209767893849,0.003356650862042499,24.492647379380394
"[0.15, 0.15, 0.7]",1.4009612014977126,0.00353129383809366,23.5754059514765
"[0.15, 0.1, 0.75]",1.3829014262060404,0.003719951011897607,22.673711384993766
"[0.15, 0.05, 0.8]",1.3648416509143682,0.003922622383454339,21.791845757225488
"[0.15, 0.0, 0.85]",1.3467818756226957,0.004139307952763854,20.933092584378322
"[0.1, 0.9, 0.0]",1.7046545742076944,0.002452636457792205,34.42070794232943
"[0.1, 0.85, 0.05]",1.686594798916022,0.002442941240729904,34.12355314520423
"[0.1, 0.8, 0.1]",1.6685350236243497,0.0024472602214203874,33.72836209637547
"[0.1, 0.75, 0.15]",1.6504752483326777,0.002465593399863656,33.23902577947922
"[0.1, 0.7, 0.2]",1.6324154730410052,0.002497940776059709,32.661763809136055
"[0.1, 0.65, 0.25]",1.614355697749333,0.0025443023500085473,32.00478185029734
"[0.1, 0.6, 0.3]",1.5962959224576605,0.00260467812171017,31.277812597405667
"[0.1, 0.55, 0.35]",1.5782361471659885,0.0026790680911645774,30.491592715489723
"[0.1, 0.5, 0.4]",1.5601763718743162,0.00276747225837177,29.657330595803558
"[0.1, 0.45, 0.45]",1.542116596582644,0.002869890623331747,28.78621326031643
"[0.1, 0.4, 0.5]",1.5240568212909715,0.0029863231860445087,27.888988035746358
"[0.1, 0.35, 0.55]",1.5059970459992993,0.003116769946510056,26.975639321394848
